time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.6935816994170497e-07,2.5800850759762823e-07,10.00656261605032,0.00021940459813407642,0.00029453870639617463,0.0,-3.167749902948438e-05,2.2740355673407148e-05,0.218736781202969,0.010117625121731965,0.013261810649159943,0.0,472.7839910661428,473.8044202926176,472.47045100445587,473.24965984127545
0.12000000000000001,-1.4047301883174633e-05,9.12973668491092e-06,10.024841136369771,0.0007393213442989932,0.0021086549688416056,0.0,-0.0005851623250761385,0.00033663334356903593,0.3905034179345939,0.005589681305059025,0.05180123938917354,0.0,457.4431065032129,460.5015335272109,459.55986023911566,459.2007554317434
0.18,-0.0001119252736344571,4.786324247331398e-05,10.05354810674244,0.001224202817183162,0.005997551886884445,0.0,-0.0030824861314711033,0.0010013361827274656,0.566323047208419,0.01264948302331569,0.08281659659241836,0.0,459.5564264234301,462.0106292015719,459.9687151220702,460.52726596958047
0.23999999999999996,-0.0004550505205599193,0.00013920817911227694,10.092705201679411,0.0020857872991673077,0.010488665681601006,0.0,-0.008897800369115267,0.002134935118552732,0.7388131317328818,0.017577751495999577,0.049911715475215224,0.0,461.089413281581,458.4867834054642,459.3949018097211,459.78533942812953
0.3,-0.001223454186713063,0.0003156548005258368,10.140613617009564,0.0029409398825563926,0.013477828227483002,0.0,-0.017028460458030373,0.003847600734766427,0.858047757643025,0.00659767705245333,0.04963411953316555,0.0,443.970966583953,443.9497531213697,443.5947131489588,442.69216301698344
0.36000000000000004,-0.0025566888496856718,0.0006135449243560017,10.196569993336617,0.00362228787620289,0.017158661321946767,0.0,-0.027782134461292504,0.006142045097692554,1.007039301695577,0.019487460332557525,0.07804073973375059,0.0,452.1124458716312,454.3975447949152,452.1560528487953,453.19304720135784
0.4200000000000001,-0.004572579855090736,0.0010563064794191135,10.258672959893797,0.004794538005633342,0.02131962884489713,0.0,-0.03984719775682416,0.008728230907422427,1.0630001000834988,0.01963739003940825,0.039781194049735034,0.0,425.36499732687724,422.07976863983174,423.8197521604959,423.8326192079719
0.48000000000000015,-0.0074304156934271925,0.0016877987239372495,10.326249203112075,0.005476844158814664,0.02374571498339062,0.0,-0.05566629089337996,0.012430204997594925,1.1894114267995866,-0.015375988512895058,0.04171055453012954,0.0,447.26465255497664,447.42257607123963,446.88958934085775,444.0267192588781
0.5400000000000001,-0.01127648780653698,0.0025443995207362793,10.400853133371713,0.004330322580869961,0.025830303005131228,0.0,-0.07277628196007407,0.0160171115547421,1.2972637932848985,-0.027875369487568465,0.014758392826212467,0.0,442.06495353947867,439.83916914589724,441.3154580731091,440.2826658343485
0.6000000000000002,-0.016216467219536627,0.0035950006680261545,10.483085565318977,0.0033009334973188587,0.026534553233201308,0.0,-0.09197283636445043,0.018861428083208016,1.4436413151175869,-0.0015119654214409625,0.004883105815737335,0.0,452.68803550717996,451.8926571725061,452.89319264120564,455.00847881441524
0.6600000000000003,-0.022400927426474253,0.004808794647337219,10.57708113401119,0.002942558000104789,0.026960339993583382,0.0,-0.11421219543852766,0.02157196056573893,1.6892124261028567,-0.016857665807152658,0.011191632021743251,0.0,482.80503698121845,483.28061299790295,483.4730825054169,482.315695192106
0.7200000000000003,-0.029913344830434795,0.006170217255911665,10.685114217515595,0.001987154753398279,0.027187312657685148,0.0,-0.13625543407460577,0.023689788667360503,1.911543169833266,-0.014117484528150663,-0.01826784250352422,0.0,478.77295637437777,476.5264700282512,476.09993921587943,476.309641495098
0.7800000000000004,-0.03851340652134373,0.0076203772937310866,10.797871395505902,0.0011625845849509986,0.02617864883485499,0.0,-0.15033518041124858,0.02458414304081587,1.8471381021846416,-0.013003901767355849,-0.014046211255307141,0.0,384.3293807851687,384.729313643264,385.65067540017776,385.7559226340694
0.8400000000000004,-0.04820906586641479,0.009121737100075905,10.916982830669328,0.0002760935972858647,0.025092008733663462,0.0,-0.1727205365032001,0.025354380972269174,2.1227754584470557,-0.018575295118819668,-0.027819936550025307,0.0,493.1840501281913,492.1658185981268,492.97338671630706,492.5616902952465
0.9000000000000005,-0.059086766924859764,0.010644461272050477,11.047422337930927,6.282395186897315,0.02338708811127166,0.0,-0.18969302148263603,0.025291535441990032,2.2250183533956074,-0.01620695073848436,-0.029633367821554634,0.0,442.4571982214538,442.30765729575336,441.6233366813566,441.81870095027597
0.9600000000000005,-0.07098705280486185,0.01214018110391459,11.185721329653349,6.28146925729521,0.02162874548957916,0.0,-0.20678091831792425,0.024460958747471492,2.384632826187469,-0.013925999637801894,-0.02865842473159031,0.0,459.6458809949784,459.72290961538863,460.5617028004573,460.7421729411795
1.0200000000000005,-0.08391713825830753,0.013562828378915884,11.335642256016634,6.2812019501883185,0.019911152392771747,0.0,-0.22400485169692244,0.022900525218664484,2.6122437056249175,0.009797341481066847,-0.02856289168426691,0.0,481.35473385455055,481.36180272159095,479.64237436368893,481.44068334837584
1.0800000000000005,-0.09786011335765457,0.014888789900973021,11.500312608670535,6.281717091108483,0.017998776161837426,0.0,-0.24052235038561864,0.02136913761362528,2.876146975102699,0.006044967667903997,-0.03948594201268347,0.0,493.0291204732099,492.22116534495603,492.1648435375237,491.88692066198246
1.1400000000000006,-0.1126390690104367,0.016143339144092408,11.674932391857894,6.282131350392941,0.015615266255211147,0.0,-0.2518766614561197,0.020487267814189792,2.944343786146844,0.008569950183380573,-0.04020782759517227,0.0,434.55790063643616,434.49654342622455,434.880301498679,435.0916435853795
